T/Tc	1-T/Tc	l	K	G	K/K0
0.1	0.9	0.21	-nan	-nan	-nan
0.1	0.9	0.22	-nan	-nan	-nan
0.1	0.9	0.23	-nan	-nan	-nan
0.1	0.9	0.24	-nan	-nan	-nan
0.1	0.9	0.25	-nan	-nan	-nan
0.1	0.9	0.26	-nan	-nan	-nan
0.1	0.9	0.27	-nan	-nan	-nan
0.1	0.9	0.28	-nan	-nan	-nan
0.1	0.9	0.29	-nan	-nan	-nan
0.1	0.9	0.3	-nan	-nan	-nan
0.1	0.9	0.31	-nan	-nan	-nan
0.1	0.9	0.32	-nan	-nan	-nan
0.1	0.9	0.33	-nan	-nan	-nan
0.1	0.9	0.34	-nan	-nan	-nan
0.1	0.9	0.35	-nan	-nan	-nan
0.1	0.9	0.36	-nan	-nan	-nan
0.1	0.9	0.37	-nan	-nan	-nan
0.1	0.9	0.38	-nan	-nan	-nan
0.1	0.9	0.39	-nan	-nan	-nan
0.1	0.9	0.4	-nan	-nan	-nan
0.1	0.9	0.41	-nan	-nan	-nan
0.1	0.9	0.42	-nan	-nan	-nan
0.1	0.9	0.43	-nan	-nan	-nan
0.1	0.9	0.44	-nan	-nan	-nan
0.1	0.9	0.45	-nan	-nan	-nan
0.1	0.9	0.46	-nan	-nan	-nan
0.1	0.9	0.47	-nan	-nan	-nan
0.1	0.9	0.48	-nan	-nan	-nan
0.1	0.9	0.49	-nan	-nan	-nan
0.1	0.9	0.5	-nan	-nan	-nan
0.1	0.9	0.51	-nan	-nan	-nan
0.1	0.9	0.52	-nan	-nan	-nan
0.1	0.9	0.53	-nan	-nan	-nan
0.1	0.9	0.54	-nan	-nan	-nan
0.1	0.9	0.55	-nan	-nan	-nan
0.1	0.9	0.56	-nan	-nan	-nan
0.1	0.9	0.57	-nan	-nan	-nan
0.1	0.9	0.58	-nan	-nan	-nan
0.1	0.9	0.59	-nan	-nan	-nan
0.1	0.9	0.6	-nan	-nan	-nan
0.1	0.9	0.61	-nan	-nan	-nan
0.1	0.9	0.62	-nan	-nan	-nan
0.1	0.9	0.63	-nan	-nan	-nan
0.1	0.9	0.64	-nan	-nan	-nan
0.1	0.9	0.65	-nan	-nan	-nan
0.1	0.9	0.66	-nan	-nan	-nan
0.1	0.9	0.67	-nan	-nan	-nan
0.1	0.9	0.68	-nan	-nan	-nan
0.1	0.9	0.69	-nan	-nan	-nan
0.1	0.9	0.7	-nan	-nan	-nan
0.1	0.9	0.71	-nan	-nan	-nan
0.1	0.9	0.72	-nan	-nan	-nan
0.1	0.9	0.73	-nan	-nan	-nan
0.1	0.9	0.74	-nan	-nan	-nan
0.1	0.9	0.75	-nan	-nan	-nan
0.1	0.9	0.76	-nan	-nan	-nan
0.1	0.9	0.77	-nan	-nan	-nan
0.1	0.9	0.78	-nan	-nan	-nan
0.1	0.9	0.79	-nan	-nan	-nan
0.1	0.9	0.8	-nan	-nan	-nan
0.1	0.9	0.81	-nan	-nan	-nan
0.1	0.9	0.82	-nan	-nan	-nan
0.1	0.9	0.83	-nan	-nan	-nan
0.1	0.9	0.84	-nan	-nan	-nan
0.1	0.9	0.85	-nan	-nan	-nan
0.1	0.9	0.86	-nan	-nan	-nan
0.1	0.9	0.87	-nan	-nan	-nan
0.1	0.9	0.88	-nan	-nan	-nan
0.1	0.9	0.89	-nan	-nan	-nan
0.1	0.9	0.9	-nan	-nan	-nan
0.1	0.9	0.91	-nan	-nan	-nan
0.1	0.9	0.92	-nan	-nan	-nan
0.1	0.9	0.93	-nan	-nan	-nan
0.1	0.9	0.94	-nan	-nan	-nan
0.1	0.9	0.95	-nan	-nan	-nan
0.1	0.9	0.96	-nan	-nan	-nan
0.1	0.9	0.97	-nan	-nan	-nan
0.1	0.9	0.98	-nan	-nan	-nan
0.1	0.9	0.99	-nan	-nan	-nan
0.1	0.9	1	-nan	3.23942e-06	-nan
